見積書番号	購買依頼★	購買依頼明細	購買依頼_削除	購買発注★	購買発注_削除	仕入先	発注テキスト	金額	発注登録日	入庫日付	納入完了	入庫番号	TECO	CMPL	DLFL	タイプ	完成年	完成月	区分（出張・修理）	指図MRP管理者	受注/指図登録日	指図タイプ名称	指図or受注★	販売伝票★	品目コード	品目テキスト	数量	製品単価	受注金額	発注保管場所	納入日付	メモ	開始日	完成日	営業担当	件名	受注先	受注得意先発注番号
2024C0095001	0012710671	00010		4502405291		S01828	修理N-PP-727-50T	0	20250604	00000000						会社間取引	2026	01	出張		20250603		344370-10	0000344370	ZSS2	修理N-PP-727-50T	0	5519000	5519000	1910	20260109		00000000	00000000	石田 陽一	【修理＆定修】海自硫黄島航空基	1101516000	GCG10408/1672002-1GC
202530219001	0012710758	00010		4502405511		S01828	PVｼｭﾐﾚｰﾀ　産総研　修理	0	20250605	00000000						会社間取引	2025	10	出張		20250603		344388-20	0000344388	ZSS2	PVｼｭﾐﾚｰﾀ　産総研　修理	0	390000	390000	1910	20251002		00000000	00000000	内田 晴之	産総研福島/PVS-A,B,C,E INVユニ	1101901000	【貸】AA25001581
202550064001	0012710759	00010		4502405301		S01828	MRS-20003 RC10Mﾂｷ 他大阪出張サービス	0	20250604	00000000						会社間取引	2025	08	出張		20250603		344389-10	0000344389	ZSS1	MRS-20003 RC10Mﾂｷ 他大阪出張サービス	0	300000	300000	1910	20250809		00000000	00000000	岩野 達也	HILLTOP MRS-20003部品交換	1100527000	24108752-0001
202540160001	0012710906	00010		4502405517		S01828	SKTKSF40×10-1000MSP(9号)	0	20250605	00000000						会社間取引	2025	11	出張		20250604		344442-10	0000344442	ZSS1	SKTKSF40×10-1000MSP(9号)	0	1020000	1020000	1910	20251110		00000000	00000000	西岡 義人	9号ボイラ直流電源装置　推奨交	1101301000	20250603I1
202550013001	0012710908	00010		4502405518		S01828	SFST30SG(9号ﾎﾞｲﾗｰ）	0	20250605	00000000						会社間取引	2025	11	出張		20250604		344443-10	0000344443	ZSS1	SFST30SG(9号ﾎﾞｲﾗｰ）	0	777000	777000	1910	20251110		00000000	00000000	西岡 義人	神鋼加古川　9号ボイラーUPS　推	1101301000	20250603I2
202550047001	0012710929	00010		4502405520		S01828	ECA4F6-400-300LSV 他	0	20250605	00000000						会社間取引	2026	01	出張		20250604		344469-10	0000344469	ZSS1	ECA4F6-400-300LSV 他	0	2050000	2050000	1910	20260125		00000000	00000000	山下 昌胤	ダイハツ京都向け　定期点検、部	1100955000	29-11-A-7050
202560046001	0012711186	00010		4502405835		S01828	BPV-750K-42T-13 NAS 他	0	20250606	00000000						会社間取引	2025	07	出張		20250605		344527-10	0000344527	ZSS1	BPV-750K-42T-13 NAS 他	0	1000000	1000000	1910	20250729		00000000	00000000	高島 俊平	SUSTECH 群馬県	1102341001	002420923
202560075001	0012711932	00010		4502406761		S01828	MRS-35002VC	0	20250611	00000000						会社間取引	2025	08	出張		20250610		344639-10	0000344639	ZSS1	MRS-35002VC	0	130000	130000	1910	20250801		00000000	00000000	八十島 陽	三菱名誘　MRS定期点検作業	1101347000	014625
202420205001	0012711974	00010		4502406765		S01828	インバータユニットLJ-ME15BK(BPV-10K-20T-03-SA-KJ)	0	20250611	00000000		48898S				会社間取引	2025	08	修理		20250610		344654-10	0000344654	ZSH1	インバータユニットLJ-ME15BK(BPV-10K-20T-03-SA-KJ)	0	537200	537200	1910	20250818		00000000	00000000	高木 俊樹	美馬市立美馬認定こども園修理対	1100494016	003498104-011
202420205001	0012711974	00020		4502406762		S01828	BPV-10K-20T-03-SA-KJ FERT	0	20250611	00000000						会社間取引	2025	09	出張		20250610		344654-20	0000344654	ZSS1	BPV-10K-20T-03-SA-KJ FERT	0	236000	236000	1910	20250919		00000000	00000000	高木 俊樹	美馬市立美馬認定こども園修理対	1100494016	003498104-011
202490221001	0012712025	00010		4502406936		S01828	SCH60WWF7-90-33KC 他　点検	0	20250612	00000000						会社間取引	2025	09	出張		20250610		344681-10	0000344681	ZSS2	SCH60WWF7-90-33KC 他　点検	0	1490860	1490860	1910	20250906		00000000	00000000	植松 純一	JX金属日立事業所　A組整流器点	1101165002	AF2509297,AF2509298
202560012001	0012712030	00010		4502406764		S01828	KTA2F6-50-350SCVP(E-T)	0	20250611	00000000						会社間取引	2025	06	出張		20250610		344683-10	0000344683	ZSS1	KTA2F6-50-350SCVP(E-T)	0	100000	100000	1910	20250611		00000000	00000000	山下 昌胤	トヨタ自動車本社工場　充放電装	1102333000	【C】2025/06/10佐野様
		00000						0	00000000	00000000						製造指図	2025	07	出張	S10	20250610	出張サービス	30031907	0000344684	ZSS	試運転BPV-250K-20Ｔ 設計費	1	500000	500000		20250711		20250711	20250804	鈴木 琢磨	ｱｸｽ周南向け250ｋW　FC電源（屋	1102788000	54038
202530146001	0012712037	00010		4502406937		S01828	ECB6F12-350-2000LSV 他出張試運転	0	20250612	00000000						会社間取引	2026	09	出張		20250610		344686-10	0000344686	ZSS2	ECB6F12-350-2000LSV 他出張試運転	0	50000	50000	1910	20260911		00000000	00000000	泉谷 和義	積水ハウス東北　電着電源試運転	1101121000	TNPIU25-029
202560104001	0012712434	00010		4502407437		S01828	試運転 SKS30TP-100MSP他	0	20250616	00000000						会社間取引	2026	07	出張		20250611		344713-30	0000344713	ZSS2	試運転 SKS30TP-100MSP他	0	285000	285000	1910	20260719		00000000	00000000	鈴木 琢磨	三菱ｶﾞｽ化学(株)山北工場様　庁	1101803000	【貸】DC56H00022.DC56H0
	0012712981	00010		4502407436		S01828	ＤＣ切替盤３　産総研 他　工事（当社製品に付帯する）	0	20250616	00000000		2024C0134001				会社間取引	2025	07	出張		20250616		344825-10	0000344825	ZSS2	ＤＣ切替盤３　産総研 他　工事（当社製品に付帯する）	0	798000	798000	1910	20250725		00000000	00000000	内田 晴之	産総研福島SS棟S室、環境室　CT	1101901000	AA25013291
2024B0019001	0012713022	00010		4502408423		S01828	MRS-8040T-202　出張点検	0	20250619	00000000						会社間取引	2025	08	出張		20250616		344894-10	0000344894	ZSS2	MRS-8040T-202　出張点検	0	269000	269000	1910	20250828		00000000	00000000	泉谷 和義	ｼﾞｪｲｼｽﾃｲﾝ点検	1102310000	【F】2025/6/11芝崎様
202560109001	0012713032	00010		4502408037		S01828	SCA4F12-30-4000SVCL 他大阪出張サービス	0	20250618	00000000						会社間取引	2025	09	出張		20250616		344915-10	0000344915	ZSS1	SCA4F12-30-4000SVCL 他大阪出張サービス	0	134000	134000	1910	20250928		00000000	00000000	岡田 将利	三菱重工業　松阪工場　整流器用	1102189000	250606-1
202560156001	0012713541	00010		4502408424		S01828	工事SKS530(JERA南横浜火力)	0	20250619	00000000						会社間取引	2026	05	出張		20250618		344991-20	0000344991	ZSS2	工事SKS530(JERA南横浜火力)	0	1500000	1500000	1910	20260508		00000000	00000000	石田 陽一	JERA南横浜火力発電所～2号充電	1102568000	5100369143
202550195001	0012713557	00010		4502408421		S01828	SKS450W-800MSP　試運転	0	20250619	00000000						会社間取引	2025	09	出張		20250618		345008-10	0000345008	ZSS2	SKS450W-800MSP　試運転	0	10000	10000	1910	20250929		00000000	00000000	杉本 友樹	JERA富津火力発電所向け直流電源	1102500000	【Ｎ】電-25H-0187
202530119001	0012714273	00010		4502409231		S01828	PV-500K-42/44T-03 MVJ他　年間保守契約	0	20250624	00000000						会社間取引	2025	10	出張		20250620		345105-10	0000345105	ZSS2	PV-500K-42/44T-03 MVJ他　年間保守契約	0	100000	100000	1910	20251028		00000000	00000000	杉本 友樹	つくば洞下太陽光発電所　年間保	1101703000	業務委託契約書
2024A0307001	0012714295	00010		4502409230		S01828	SDTQ12-300-800P　点検	0	20250624	00000000						会社間取引	2025	08	出張		20250620		345111-10	0000345111	ZSS2	SDTQ12-300-800P　点検	0	657160	657160	1910	20250819		00000000	00000000	植松 純一	東ソー・クォーツ酒田　プラズマ	1100946001	38-144939
202550089001	0012714613	00010		4502409758		S01828	SCB6WF7-20-12KSVCx2ｺﾔﾍﾞ　他出張点検	0	20250626	00000000						会社間取引	2025	08	出張		20250623		345154-10	0000345154	ZSS2	SCB6WF7-20-12KSVCx2ｺﾔﾍﾞ　他出張点検	0	800000	800000	1910	20250817		00000000	00000000	妹尾 健	LIXIL小矢部点検	1100131000	20250297
202560055001	0012714843	00010		4502409766		S01828	SCA2WF7-15/60-6K/1.5KSVC	0	20250626	00000000						会社間取引	2025	11	出張		20250624		345269-10	0000345269	ZSS1	SCA2WF7-15/60-6K/1.5KSVC	0	2300000	2300000	1910	20251120		00000000	00000000	平岡 淳	ダイキン工業2025年度定期点検	1100752001	4500143216
202550140001	0012715087	00010		4502409769		S01828	ECB6F6-400-1000LSV No.1 他	0	20250626	00000000						会社間取引	2025	10	出張		20250625		345279-10	0000345279	ZSS1	ECB6F6-400-1000LSV No.1 他	0	1430000	1430000	1910	20251018		00000000	00000000	山下 昌胤	トヨタ車体吉原　2.5Tシャーシラ	1100955000	21-38-A-2135
202020081001	0012715088	00010		4502410213		S01828	SKS30-50MSE　点検	0	20250627	00000000						会社間取引	2026	01	出張		20250625		345281-10	0000345281	ZSS2	SKS30-50MSE　点検	0	2092260	2092260	1910	20260104		00000000	00000000	植松 純一	西日本キャンパック　直流電源装	1101960004	JOJ2500090
202560036001	0012715104	00010		4502410201		S01828	MED2-3530T　他出張点検	0	20250627	00000000						会社間取引	2025	07	出張		20250625		345291-10	0000345291	ZSS2	MED2-3530T　他出張点検	0	300000	300000	1910	20250727		00000000	00000000	泉谷 和義	ﾄﾋﾟｰ綾瀬整流器年次点検2025年度	1100969004	36553
202540154001	0012715110	00010		4502410200		S01828	PV-250K-42/44T-03 MVJ 他  点検	0	20250627	00000000						会社間取引	2025	11	出張		20250625		345298-10	0000345298	ZSS2	PV-250K-42/44T-03 MVJ 他  点検	0	750000	750000	1910	20251111		00000000	00000000	佐藤 清志	青森市清掃施７３０ｋW太陽光発	1101807000	REQ番号：R00079033
202540035001	0012715217	00010		4502410208		S01828	SDTKS10-50MSP	0	20250627	00000000		49548S				会社間取引	2025	10	修理		20250626		345318-10	0000345318	ZSH1	SDTKS10-50MSP	0	893500	893500	1910	20251021		00000000	00000000	若木 匠	北陸電力　境川第一発電所　整流	1100559000	ｋｚ-25062501
2024B0052001	0012715244	00010		4502410210		S01828	SFST100TG	0	20250627	00000000						会社間取引	2025	12	出張		20250626		345340-10	0000345340	ZSS1	SFST100TG	0	658000	658000	1910	20251201		00000000	00000000	板東 利治	SFST100TG　ソニー熊本　部品交	1100356000	N20250621元田様
2024B0053001	0012715246	00010		4502410211		S01828	SFST150TG	0	20250627	00000000						会社間取引	2025	12	出張		20250626		345341-10	0000345341	ZSS1	SFST150TG	0	658000	658000	1910	20251201		00000000	00000000	板東 利治	SFST150TG　ソニー熊本　部品交	1100356000	N20250621元田様
202560244001	0012715317	00010		4502410212		S01828	#MRM-PM-15005-AT (C) (N) 他	0	20250627	00000000						会社間取引	2025	08	出張		20250626		345348-10	0000345348	ZSS1	#MRM-PM-15005-AT (C) (N) 他	0	1206000	1206000	1910	20250830		00000000	00000000	八十島 陽	KVK 整流器点検及びメーター校正	1102474000	187206
202550014001	0012715804	00010		4502411452		S01828	SYS40-400MSE 他　点検	0	20250704	00000000						会社間取引	2025	11	出張		20250630		345412-10	0000345412	ZSS2	SYS40-400MSE 他　点検	0	900000	900000	1910	20251117		00000000	00000000	植松 純一	三井金属鉱業　上尾　ＶＶＶＦバ	1101484002	K-25-K175-0
202560263001	0012715824	00010		4502410651		S01828	SFST50TGB-100MSP 他　試運転	0	20250702	00000000						会社間取引	2026	06	出張		20250630		345427-30	0000345427	ZSS2	SFST50TGB-100MSP 他　試運転	0	5300000	5300000	1910	20260603		00000000	00000000	植松 純一	JX金属(株)（白銀地区）半導体材	1101165000	【貸】AF2506353
202530158001	0012716092	00010		4502411453		S01828	PPS 1000V 1800A　点検	0	20250704	00000000						会社間取引	2025	08	出張		20250702		345522-10	0000345522	ZSS2	PPS 1000V 1800A　点検	0	8126	8126	1910	20250826		00000000	00000000	植松 純一	JESCO北海道1系プラズマ電源装置	1200017001	SPS-4859
202560259001	0012716113	00010		4502411454		S01828	MRS-12050A RC45M　出張修理	0	20250704	00000000						会社間取引	2025	07	出張		20250702		345525-10	0000345525	ZSS2	MRS-12050A RC45M　出張修理	0	214000	214000	1910	20250731		00000000	00000000	泉谷 和義	山田本社工場MRS4台点検	1100485000	478429
202570019001	0012716182	00010		4502411455		S01828	KTA4F6-1200-1500SVCPR　試運転	0	20250704	00000000						会社間取引	2025	07	出張		20250702		345542-10	0000345542	ZSS2	KTA4F6-1200-1500SVCPR　試運転	0	300000	300000	1910	20250723		00000000	00000000	山下 和明	NTC　P4棟2FE201、214　600kW試	1101087000	【貸】YS-9348-2300015-0
202570022001		00000						0	00000000	00000000						製造指図	2025	07	出張	S10	20250702	出張サービス	30031909	0000345544	ZSS	BPV-49.9K-20T-03-NT 量産	1	320000	320000		20250731		20250822	20250822	高島 俊平	日東工業　瀬戸工場　PLC温度追	1102594000	25055000758-0001/-00
2024C0198001	0012716540	00010		4502411458		S01828	ECB6F6-400-350LSV　他出張点検	0	20250704	00000000						会社間取引	2025	09	出張		20250703		345613-10	0000345613	ZSS2	ECB6F6-400-350LSV　他出張点検	0	1389000	1389000	1910	20250920		00000000	00000000	泉谷 和義	電着整流器点検、部品交換2025年	1101121000	T2506-185/TNPIU25-10
202550049001	0012716802	00010		4502411911		S01828	MRS-60010AT2 他大阪出張サービス	0	20250707	00000000						会社間取引	2025	08	出張		20250704		345641-10	0000345641	ZSS1	MRS-60010AT2 他大阪出張サービス	0	220000	220000	1910	20250823		00000000	00000000	渡邉 健太	ASブレーキシズテムズ　MRS-6001	1101100000	KS1527-004161-01
202520118001	0012716831	00010		4502411912		S01828	MED-4530CA1大阪出張サービス	0	20250707	00000000						会社間取引	2025	09	出張		20250704		345663-10	0000345663	ZSS1	MED-4530CA1大阪出張サービス	0	312000	312000	1910	20250906		00000000	00000000	渡邉 健太	ダイホク工業　MED-4530CA1部品	1101121000	TNPIU25-105
202560042001	0012717634	00010		4502412565		S01828	UF3-0250F修理(49602S)	0	20250709	00000000		49602S				会社間取引	2025	10	修理		20250708		345754-10	0000345754	ZSH1	UF3-0250F修理(49602S)	0	215000	215000	1910	20251003		00000000	00000000	石田 将志	JNVファイバーズ(株)様向け	1100276001	SB-6710192
202330000001	0012717905	00010		4502412895		S01828	SCB3F12-500-1500C 他	0	20250710	00000000						会社間取引	2025	09	出張		20250709		345778-10	0000345778	ZSS1	SCB3F12-500-1500C 他	0	1275000	1275000	1910	20250902		00000000	00000000	小山 祐一	住友電工電線加熱電源　試運転	1100697003	1739600801
202570052001	0012717929	00010		4502412874		S01828	SRG-200TG-NAS	0	20250710	00000000						会社間取引	2025	09	出張		20250709		345818-10	0000345818	ZSS1	SRG-200TG-NAS	0	100000	100000	1910	20250914		00000000	00000000	高島 俊平	オホーツク工場	1102341001	002301870
2024B0027001	0012717930	00010		4502413527		S01828	SKS100-150MSP　点検	0	20250714	00000000						会社間取引	2025	09	出張		20250709		345819-10	0000345819	ZSS2	SKS100-150MSP　点検	0	1150000	1150000	1910	20250922		00000000	00000000	佐藤 清志	中間貯蔵施設　直流電源装置　点	1100633001	A600291449
202540110001	0012718536	00010		4502413732		S01828	ECB6F6-350-3000LSV 他大阪出張サービス	0	20250715	00000000						会社間取引	2025	11	出張		20250711		345880-10	0000345880	ZSS1	ECB6F6-350-3000LSV 他大阪出張サービス	0	690000	690000	1910	20251116		00000000	00000000	渡邉 健太	三菱ふそうバス製造 ECB6F6-350-	1101121000	ONPIU25-130
202570103001	0012718537	00010		4502413529		S01828	KTAM4W6-60/60-5K/1.67KPL　点検	0	20250714	00000000						会社間取引	2026	03	出張		20250711		345881-10	0000345881	ZSS2	KTAM4W6-60/60-5K/1.67KPL　点検	0	1624920	1624920	1910	20260319		00000000	00000000	植松 純一	GWJ　部品交換（#31）　2026年3	1101090001	00071324
202570104001	0012718538	00010		4502413530		S01828	KTAM4W6-60/60-5K/1.67KPL　点検	0	20250714	00000000						会社間取引	2026	04	出張		20250711		345882-10	0000345882	ZSS2	KTAM4W6-60/60-5K/1.67KPL　点検	0	1624920	1624920	1910	20260423		00000000	00000000	植松 純一	GWJ　部品交換（#32）　2026年4	1101090001	00071326
202550166001	0012718588	00010		4502413733		S01828	SFST15SG No.1 他	0	20250715	00000000						会社間取引	2025	12	出張		20250711		345896-10	0000345896	ZSS1	SFST15SG No.1 他	0	1345000	1345000	1910	20251202		00000000	00000000	蔭山 聡	九州サンソセンター　No.1～3　F	1101487006	042107-0026
202570105001	0012718880	00010		4502413737		S01828	KTAM4W6-60/60-5K/1.67KPL　点検	0	20250715	00000000						会社間取引	2026	05	出張		20250714		345945-10	0000345945	ZSS2	KTAM4W6-60/60-5K/1.67KPL　点検	0	1624920	1624920	1910	20260514		00000000	00000000	植松 純一	GWJ　部品交換（#33）　2026年5	1101090001	00071327
202570106001	0012718881	00010		4502413982		S01828	KTAM4W6-60/60-5K/1.67KPL　点検　	0	20250716	00000000						会社間取引	2026	06	出張		20250714		345951-10	0000345951	ZSS2	KTAM4W6-60/60-5K/1.67KPL　点検　	0	1624920	1624920	1910	20260618		00000000	00000000	植松 純一	GWJ　部品交換（#41）　2026年6	1101090001	00071328
2024B0176001	0012718994	00010		4502413972		S01828	SST30SG            ﾎﾟﾘﾌﾟﾗ　点検	0	20250716	00000000						会社間取引	2025	10	出張		20250715		345998-10	0000345998	ZSS2	SST30SG            ﾎﾟﾘﾌﾟﾗ　点検	0	102350	102350	1910	20251017		00000000	00000000	植松 純一	ポリプラスチックス㈱富士工場　	1101960000	G452500041
202520008001	0012719079	00010		4502414376		S01828	ECA4F6-350-2000LSV　他出張点検	0	20250717	00000000						会社間取引	2026	01	出張		20250715		346056-10	0000346056	ZSS2	ECA4F6-350-2000LSV　他出張点検	0	2000000	2000000	1910	20260108		00000000	00000000	妹尾 健	三菱ﾀｲ3工場点検（見積用）	1101246000	25PP00003002
202510182001	0012719236	00010		4502415282		S01828	MEDY5-3550CA1大阪出張サービス	0	20250723	00000000						会社間取引	2025	10	出張		20250716		346103-10	0000346103	ZSS1	MEDY5-3550CA1大阪出張サービス	0	234000	234000	1910	20251019		00000000	00000000	渡邉 健太	セレコーポレーション千葉工場　	1101121000	TNPIU25-064
202550102001	0012719330	00010		4502415283		S01828	SAC-I修理(49572S)	0	20250723	00000000		49572S				会社間取引	2025	09	修理		20250716		346153-10	0000346153	ZSH1	SAC-I修理(49572S)	0	301000	301000	1910	20250926		00000000	00000000	岩野 達也	2025/10/10 北海道道南歯科技研	1100560000	4501416208-00010
202550251001	0012719333	00010		4502415285		S01828	IDKS-40-350修理(49597S)	0	20250723	00000000		49597S				会社間取引	2025	11	修理		20250716		346154-10	0000346154	ZSH1	IDKS-40-350修理(49597S)	0	691000	691000	1910	20251110		00000000	00000000	岩野 達也	1-25-16850-0	1100428014	25-EE1-32361
202520057001	0012719464	00010		4502415286		S01828	HKD-2050F　DN2引取修理（49470S）	0	20250723	00000000		49470S				会社間取引	2025	11	修理		20250716		346168-10	0000346168	ZSH1	HKD-2050F　DN2引取修理（49470S）	0	340000	340000	1910	20251104		00000000	00000000	妹尾 健	新光電気工業　高丘工場	1100564000	0572301
202570168001	0012719685	00010		4502414564		S01828	蓄電池警報リセット作業	0	20250718	00000000						会社間取引	2025	08	出張		20250717		346197-10	0000346197	ZSS2	蓄電池警報リセット作業	0	10000	10000	1910	20250807		00000000	00000000	鈴木 琢磨	富士電機製UPS　蓄電池警報リセ	1101803000	【N】2025.7.13_医療福祉運営機
202510250001	0012719715	00010		4502414565		S01828	PV-250K-42/44T-03 MVJ 他	0	20250718	00000000						会社間取引	2025	12	出張		20250717		346203-10	0000346203	ZSS1	PV-250K-42/44T-03 MVJ 他	0	2800000	2800000	1910	20251224		00000000	00000000	板東 利治	廣八堂馬田第二太陽光発電所　10	1102306000	N20250715甲斐様
202560044001	0012719716	00010		4502414567		S01828	HKD-8100F CCLINK修理	0	20250718	00000000		49604S				会社間取引	2025	10	修理		20250717		346206-10	0000346206	ZSH1	HKD-8100F CCLINK修理	0	198000	198000	1910	20251028		00000000	00000000	岡田 将利	西倉吉	1101751001	384509
2024B0207001	0012720370	00010		4502415280		S01828	SIT20SGD/SKS250-300MSP	0	20250723	00000000						会社間取引	2025	11	出張		20250722		346283-10	0000346283	ZSS1	SIT20SGD/SKS250-300MSP	0	990000	990000	1910	20251121		00000000	00000000	板東 利治	筑後ガス圧送　令和7年度点検	1102334000	18
		00000						0	00000000	00000000						製造指図	2025	10	出張	S10	20250722	出張サービス	30031912	0000346304	ZSS	サビ補修作業費用	1	486196	486196		20251006		20251003	20251003	内田 晴之	産総研福島SS棟/サビ補修	1101901000	AA25001517
202570189001	0012720398	00010		4502415281		S01828	MRS-12040 (ﾘﾓｺﾝﾂｷ10M)大阪出張サービス	0	20250723	00000000						会社間取引	2025	07	出張		20250722		346306-10	0000346306	ZSS1	MRS-12040 (ﾘﾓｺﾝﾂｷ10M)大阪出張サービス	0	30000	30000	1910	20250723		00000000	00000000	渡邉 健太	貝塚鍍金工業所　MRS-12040修理	1100489000	【Z】2025/7/22　木村様
202560116001	0012720678	00010		4502415624		S01828	IDKS-40-350修理(49615S)	0	20250724	00000000		49615S				会社間取引	2025	11	修理		20250723		346324-10	0000346324	ZSH1	IDKS-40-350修理(49615S)	0	726000	726000	1910	20251105		00000000	00000000	岩野 達也	1-25-16697-0 ケミコン東日本マ	1100428014	25-EE1-31600
202560115001	0012720679	00010		4502415625		S01828	IDKS-40-350修理(49614S)	0	20250724	00000000		49614S				会社間取引	2025	11	修理		20250723		346325-10	0000346325	ZSH1	IDKS-40-350修理(49614S)	0	699000	699000	1910	20251105		00000000	00000000	岩野 達也	1-25-16698-0 ケミコン東日本マ	1100428014	25-EE1-31601
202550030001	0012721033	00010		4502415981		S01828	IDKS-40-200T1修理(49570S)	0	20250725	00000000		49570S				会社間取引	2025	11	修理		20250724		346382-10	0000346382	ZSH1	IDKS-40-200T1修理(49570S)	0	555000	555000	1910	20251105		00000000	00000000	岩野 達也	1-25-15946-0 ＴＰＲ株式会社様	1100428014	25-EE1-26875
202560043001	0012721037	00010		4502415982		S01828	IDKS-40-200T1修理(49603S)	0	20250725	00000000		49603S				会社間取引	2025	11	修理		20250724		346383-10	0000346383	ZSH1	IDKS-40-200T1修理(49603S)	0	654000	654000	1910	20251105		00000000	00000000	岩野 達也	1-25-16980-0	1100428014	25-EE1-34505
202570134001	0012721063	00010		4502415980		S01828	MRS-12030PRT RC10M大阪出張サービス	0	20250725	00000000						会社間取引	2025	07	出張		20250724		346390-10	0000346390	ZSS1	MRS-12030PRT RC10M大阪出張サービス	0	210000	210000	1910	20250731		00000000	00000000	渡邉 健太	登商会～三栄硬質クローム工業所	1100005000	【Z】2025/7/24　末永様
202560239001	0012721381	00010		4502417856		S01828	SCA4FW7-20-6KSVC+15　出張点検	0	20250804	00000000						会社間取引	2025	09	出張		20250725		346416-10	0000346416	ZSS2	SCA4FW7-20-6KSVC+15　出張点検	0	1100000	1100000	1910	20250919		00000000	00000000	妹尾 健	ｱﾙﾏｯｸｽ点検	1100131000	20250363
202570195001	0012721461	00010		4502416434		S01828	MRS-15050T大阪出張サービス	0	20250728	00000000						会社間取引	2025	09	出張		20250725		346424-10	0000346424	ZSS1	MRS-15050T大阪出張サービス	0	10000	10000	1910	20250912		00000000	00000000	岩野 達也	㈱友 MRS-15050T 出張修理	1100326000	【Z】2025/7/25　伊賀社長様
202570093001	0012721462	00010		4502416435		S01828	PV-100K-21T-03 MLVJ_明石 他	0	20250728	00000000						会社間取引	2026	06	出張		20250725		346425-30	0000346425	ZSS1	PV-100K-21T-03 MLVJ_明石 他	0	250000	250000	1910	20260619		00000000	00000000	高木 俊樹	川崎重工場（株）明石工場向けパ	1102133000	G227917
202510018001		00000						0	00000000	00000000						製造指図	2026	02	修理	C40	20250728	引取修理	30031914	0000346470	ZSH	SVG　300KVA電力	1	3074600	3074600		20260221	中国電力米子  エナジーサポート（株）納期：2026/2/21　名古屋　余語	20260120	20260219	高島 俊平	中国電力米子	1100156000	25064547
202560138001	0012721838	00010		4502416761		S01828	HKE-830G	0	20250729	00000000		49618S				会社間取引	2025	08	修理		20250728		346474-10	0000346474	ZSH1	HKE-830G	0	65000	65000	1910	20250829		00000000	00000000	八十島 陽	シーアンドエム修理	1102563000	20250715-02
202550134001	0012721844	00010		4502417854		S01828	SKS350-400MSE/SIT30SG 他　点検	0	20250804	00000000						会社間取引	2025	10	出張		20250728		346478-10	0000346478	ZSS2	SKS350-400MSE/SIT30SG 他　点検	0	880000	880000	1910	20251028		00000000	00000000	佐藤 清志	オリックス資源循環㈱　彩の国資	1100633001	A600291697
202560167001	0012722158	00010		4502417855		S01828	ECB6F6-400-1000LSV　出張点検	0	20250804	00000000						会社間取引	2025	11	出張		20250729		346517-10	0000346517	ZSS2	ECB6F6-400-1000LSV　出張点検	0	664000	664000	1910	20251109		00000000	00000000	泉谷 和義	ﾌﾟﾚｽ工業藤沢工場点検	1100955005	28-11-A-1510-00
202570150001	0012722163	00010		4502417026		S01828	TE040063H(2)大阪出張サービス	0	20250730	00000000						会社間取引	2025	10	出張		20250729		346542-20	0000346542	ZSS1	TE040063H(2)大阪出張サービス	0	274000	274000	1910	20251020		00000000	00000000	岡田 将利	野村鍍金　福山工場　超音波振動	1101235002	3805688
202560001001	0012722341	00010		4502417859		S01828	SFST40SG　(3号)	0	20250804	00000000						会社間取引	2025	09	出張		20250730		346569-10	0000346569	ZSS1	SFST40SG　(3号)	0	328000	328000	1910	20250926		00000000	00000000	西岡 義人	JERA千葉火力発電　3-3軸GT（SFS	1101480013	4706210479
202510041001	0012722342	00010		4502417860		S01828	SFST40SG 他	0	20250804	00000000						会社間取引	2025	09	出張		20250730		346570-10	0000346570	ZSS1	SFST40SG 他	0	400000	400000	1910	20250925		00000000	00000000	西岡 義人	JERA千葉火力発電　3-1、3-2、3-	1101480013	4706214708
		00000						0	00000000	00000000						製造指図	2025	07	出張	S10	20250730	出張サービス	30031915	0000346584	ZSS	NEXCO上信越　産廃処理費用（直富産業）	1	1585000	1585000		20250731		20260226	20260226	坂本 英彰	NEXCO上信越　産廃処理費用（直	1102203001	703020010020230030
202570210001	0012722644	00010		4502417862		S01828	SKS20-100MSP 他	0	20250804	00000000						会社間取引	2027	02	出張		20250731		346629-50	0000346629	ZSS1	SKS20-100MSP 他	0	1000000	1000000	1910	20270224		00000000	00000000	坂村 健太	下関奥山工場　基幹改良工事	1100634000	25-08G-02606,25-08G-
202570226001	0012722647	00010		4502417863		S01828	SCT50SGD	0	20250804	00000000						会社間取引	2026	11	出張		20250731		346630-20	0000346630	ZSS1	SCT50SGD	0	600000	600000	1910	20261126		00000000	00000000	坂村 健太	NDIP　CVCF装置購入	1100764000	1125110-8020
202560210001	0012722656	00010		4502417866		S01828	THYｽﾀｯｸ（左）引取修理（49636S）	0	20250804	00000000		49636S				会社間取引	2025	09	修理		20250731		346632-10	0000346632	ZSH1	THYｽﾀｯｸ（左）引取修理（49636S）	0	280000	297500	1910	20250910		00000000	00000000	妹尾 健	日産自動車追浜工場	1101246000	25PP00002307
202560211001	0012722660	00010		4502417868		S01828	THYｽﾀｯｸ（右）引取修理（49637S）	0	20250804	00000000		49637S				会社間取引	2025	09	修理		20250731		346633-10	0000346633	ZSH1	THYｽﾀｯｸ（右）引取修理（49637S）	0	280000	300000	1910	20250910		00000000	00000000	妹尾 健	日産自動車追浜工場	1101246000	25PP00002307
