内部指図番号	テキスト	ステータス	登録日	指図タイプ	登録者	利益センタ	リリース済日	登録時刻
0C1711007	知多南部広域環境組合	CMPL	20171114	ZE10	PP1115	P716103	20171114	121639	
0C1711008	大陽日酸～三重ガス	CMPL	20171114	ZE10	PP1115	P716103	20171114	121826	
0C1711009	旭テック／昭電/大阪地区某所	CMPL	20171117	ZE10	PP1115	P716103	20171117	170756	
0C1711010	東電HD信濃川事業所～湯沢発電所	DLFL	20171114	ZE10	PP1115	P716103	20171114	121847	
0C1711011	車両用バッテリー充放電装置更新	CMPL	20171117	ZE10	PP1115	P716103	20171117	170836	
0C1711012	東電PG下館支社～結城変電所	CMPL	20171117	ZE10	PP1115	P716103	20171117	170855	
0C1711013	東電PG東京総支社～（仮称）台場変電所	CMPL	20171117	ZE10	PP1115	P716103	20171117	170914	
0C1711014	東電PG銀座支社～東内幸町変電所	CMPL	20171117	ZE10	PP1115	P716103	20171117	170935	
0C1711016	大阪市大手前配水場（配水池）	CMPL	20171122	ZE10	PP1115	P716103	20171122	163617	
0C1711017	パナソニック魚津	CMPL	20171127	ZE10	PP1115	P716103	20171127	155813	
0C1711018	鹿児島市ごみ処理施設	CMPL	20171127	ZE10	PP1115	P716103	20171127	155938	
0C1711019	新甲南病院建設工事	DLFL	20171211	ZE10	PP1115	P716103	20171211	120636	
0C1711020	上信越自動車道無停電電源設備更新工事	DLFL	20171128	ZE10	PP1115	P716103	20171128	120956	
0C1711021	上信越自動車道無停電電源設備更新工事	CMPL	20171128	ZE10	PP1115	P716103	20171128	121011	
0C1711022	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	155739	
0C1711023	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	155811	
0C1711024	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	155832	
0C1711025	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	155849	
0C1711026	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	155912	
0C1711027	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	155942	
0C1711028	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	160034	
0C1711029	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	160100	
0C1711030	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	160118	
0C1711031	上信越自動車道無停電電源設備更新工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	160135	
0C1711032	【入札】中部管区警察局　通信用直流電源	CMPL	20171129	ZE10	PP1115	P716103	20171129	160153	
0C1711033	中国管区警察局岡山県情報通信部	CMPL	20171129	ZE10	PP1115	P716103	20171129	160217	
0C1711034	興人ライフサイエンス佐伯工場	DLFL	20171129	ZE10	PP1115	P716103	20171129	160239	
0C1711035	横河ブリッジ殿向け直流電源装置更新	CMPL	20171129	ZE10	PP1115	P716103	20171129	160618	
0C1711036	水資源大島ダム直流電源設備工事	CMPL	20171129	ZE10	PP1115	P716103	20171129	160637	
0C1711037	JXTG堺工場更新案件	DLFL	20171207	ZE10	PP1115	P716103	20171207	094823	
0C1711038	JXTG堺工場更新案件	DLFL	20171207	ZE10	PP1115	P716103	20171207	094840	
0C1711039	JXTG堺工場更新案件	DLFL	20171207	ZE10	PP1115	P716103	20171207	094858	
0C1711040	東電PG銀座支社～東内幸町変電所	DLFL	20171207	ZE10	PP1115	P716103	20171207	094917	
0C1711041	東電PG神奈川藤沢支社～衣笠変電所	CMPL	20171207	ZE10	PP1115	P716103	20171207	094933	
0C1712003	御殿場管内直流電源設備更新工事	CMPL	20171207	ZE10	PP1115	P716103	20171207	095035	
0C1712004	御殿場管内直流電源設備更新工事	CMPL	20171207	ZE10	PP1115	P716103	20171207	095058	
0C1712005	御殿場管内直流電源設備更新工事	CMPL	20171207	ZE10	PP1115	P716103	20171207	095113	
0C1712006	御殿場管内直流電源設備更新工事	CMPL	20171207	ZE10	PP1115	P716103	20171207	095128	
0C1712007	東ソー南陽事業所	CMPL	20171207	ZE10	PP1115	P716103	20171207	095144	
0C1712008	九州支社管内直流電源設備更新工事	CMPL	20171211	ZE10	PP1115	P716103	20171211	130633	
0C1712009	中国管区警察局 岡山県情報通信部向け直流電源装置	CMPL	20171211	ZE10	PP1115	P716103	20171211	130919	
0C1712010	流山クリーンセンター	CMPL	20171211	ZE10	PP1115	P716103	20171211	130707	
0C1712011	HFBプロジェクト(山梨県）	CMPL	20171219	ZE10	PP1115	P716103	20171219	144338	
0C1712013	近畿地方某所（KO）	CMPL	20171219	ZE10	PP1115	P716103	20171219	145052	
0C1712014	太田川ダム小水力発電所	CMPL	20171219	ZE10	PP1115	P716103	20171219	150330	
0C1712017	札幌市水道局	CMPL	20171219	ZE10	PP1115	P716103	20171219	150351	
0C1712018	FFプロジェクト	CMPL	20171219	ZE10	PP1115	P716103	20171219	150409	
0C1712019	徳島第2地方合同庁舎	CMPL	20171219	ZE10	PP1115	P716103	20171219	150550	
0C1712020	宝町駐車場	DLFL	20171219	ZE10	PP1115	P716103	20171219	150606	
0C1712021	高岳パークビル	CMPL	20171219	ZE10	PP1115	P716103	20171219	150637	
0C1712022	岡山某社	DLFL	20171219	ZE10	PP1115	P716103	20171219	150656	
0C1712024	ＨＡＴ神戸・脇の浜 直流電源更新	CMPL	20171226	ZE10	PP1115	P716103	20171226	134309	
0C1712025	長吉ポンプ場	CMPL	20171226	ZE10	PP1115	P716103	20171226	134326	
0C1801002	千手発電所	DLFL	20180115	ZE10	PP1115	P716103	20180115	121137	
0C1801003	興人ライフサイエンス　佐伯工場	DLFL	20180116	ZE10	PP1007	P716103	20180116	162130	
0C1801004	大阪中央病院	CMPL	20180116	ZE10	PP1007	P716103	20180116	162500	
0C1801005	大阪中央病院	CMPL	20180116	ZE10	PP1007	P716103	20180116	162540	
0C1801006	大阪中央病院	CMPL	20180116	ZE10	PP1007	P716103	20180116	162602	
0C1801007	倉敷中央病院	CMPL	20180118	ZE10	PP1115	P716103	20180118	163557	
0C1801008	パナソニックAIS	CMPL	20180118	ZE10	PP1115	P716103	20180118	163642	
0C1801009	パナソニックAIS社	CMPL	20180118	ZE10	PP1115	P716103	20180118	163657	
0C1801010	瀬戸内共同火力4号更新	DLFL	20180118	ZE10	PP1115	P716103	20180118	163800	
0C1801011	瀬戸内共同火力5号更新	DLFL	20180118	ZE10	PP1115	P716103	20180118	163816	
0C1801012	瀬戸内共同火力6号更新	DLFL	20180118	ZE10	PP1115	P716103	20180118	163931	
0C1801013	新日鐵住金君津　二製鋼　3CC　精整電気室	CMPL	20180123	ZE10	PP1115	P716103	20180123	163527	
0C1801014	陸上自衛隊第304基地通信中隊対馬派遣隊	CMPL	20180123	ZE10	PP1115	P716103	20180123	163548	
0C1801016	広島中央エコパーク整備事業	CMPL	20180123	ZE10	PP1115	P716103	20180123	163604	
0C1801017	太田市外三町広域清掃組合	DLFL	20180123	ZE10	PP1115	P716103	20180123	163754	
0C1801018	八斗島変電所	CMPL	20180123	ZE10	PP1115	P716103	20180123	163809	
0C1801019	中部電力㈱武豊火力	CMPL	20180124	ZE10	PP1115	P716103	20180124	120837	
0C1801020	中部電力㈱武豊火力	CMPL	20180124	ZE10	PP1115	P716103	20180124	120854	
0C1801021	中部電力㈱武豊火力	CMPL	20180124	ZE10	PP1115	P716103	20180124	120912	
0C1801023	神戸製鋼所　3号脱硫	CMPL	20180201	ZE10	PP1115	P716103	20180201	115222	
0C1801025	パナソニック砺波工場	CMPL	20180130	ZE10	PP1115	P716103	20180130	090820	
0C1801026	東電PG木更津変電所～館山変電所	DLFL	20180130	ZE10	PP1115	P716103	20180130	090928	
0C1801027	デンカ　第二火力　直流電源装置更新	DLFL	20180130	ZE10	PP1115	P716103	20180130	091000	
0C1802001	デンカ　EVAプラント　直流電源装置更新	DLFL	20180130	ZE10	PP1115	P716103	20180130	091128	
0C1802002	東電PG荻窪支社～石井神、谷原変電所	DLFL	20180213	ZE10	PP1115	P716103	20180213	105651	
0C1802004	1号共通直流電源装置	DLFL	20180213	ZE10	PP1115	P716103	20180213	105714	
0C1802005	四国電力西条1号　直流電源装置	DLFL	20180213	ZE10	PP1115	P716103	20180213	105759	
0C1802006	日新製鋼	DLFL	20180213	ZE10	PP1115	P716103	20180213	105814	
0C1802007	寝屋川新ごみ処理 電源装置＿ＤＣ (2B61410)	DLFL	20180213	ZE10	PP1115	P716103	20180213	105835	
0C1802008	三菱ケミカル水島　液石２系　直流電源更新	DLFL	20180219	ZE10	PP1115	P716103	20180219	091833	
0C1802009	阪和道　和歌山南SICほか	DLFL	20180219	ZE10	PP1115	P716103	20180219	091853	
0C1802010	荒川ダム総管直流電源設備工事	DLFL	20180219	ZE10	PP1115	P716103	20180219	091911	
0C1802011	荒川ダム総管直流電源設備工事	DLFL	20180219	ZE10	PP1115	P716103	20180219	091933	
0C1802012	荒川ダム総管直流電源設備工事	DLFL	20180219	ZE10	PP1115	P716103	20180219	091950	
0C1802013	荒川ダム総管直流電源設備工事	DLFL	20180219	ZE10	PP1115	P716103	20180219	092010	
0C1802014	荒川ダム総管直流電源設備工事	DLFL	20180219	ZE10	PP1115	P716103	20180219	092032	
0C1802015	荒川ダム総管直流電源設備工事	DLFL	20180219	ZE10	PP1115	P716103	20180219	092049	
0C1802016	東京ガス根岸工場直流電源装置更新	CMPL	20180219	ZE10	PP1115	P716103	20180219	092105	
0C1802017	旭硝子(株)大網白里鉱業所	DLFL	20180219	ZE10	PP1115	P716103	20180219	092120	
0C1802018	東電PG木更津変電所～館山変電所	CMPL	20180219	ZE10	PP1115	P716103	20180219	092136	
0C1802019	東電PG木更津支社～勝山変電所	DLFL	20180219	ZE10	PP1115	P716103	20180219	092153	
0C1802020	東電PG木更津支社～桜井変電所	DLFL	20180219	ZE10	PP1115	P716103	20180219	092211	
0C1802021	東電PG木更津支社～木更津変電所	DLFL	20180219	ZE10	PP1115	P716103	20180219	092227	
0C1802028	JFE福山 3製鋼浄水	CMPL	20180228	ZE10	PP1115	P716103	20180228	161258	
0C1802032	上信越自動車道無停電電源設備更新工事	DLFL	20180228	ZE10	PP1115	P716103	20180228	161330	
0C1802036	上信越自動車道無停電電源設備更新工事	DLFL	20180228	ZE10	PP1115	P716103	20180228	161345	
0C1802040	東電PG品川支社～新井宿変電所	DLFL	20180228	ZE10	PP1115	P716103	20180228	161400	
0C1802041	東電PG品川支社～南郷変電所	DLFL	20180228	ZE10	PP1115	P716103	20180228	161420	
0C1802042	扇島都市ガス供給設備	CMPL	20180228	ZE10	PP1115	P716103	20180228	161435	
0C1802043	シスメックス	CMPL	20180228	ZE10	PP1115	P716103	20180228	161558	
0C1802044	琵琶湖流域東北部長浜ポンプ場	CMPL	20180228	ZE10	PP1115	P716103	20180228	161631	
0C1803002	下関市奥山工場	CMPL	20180306	ZE10	PP1115	P716103	20180306	153457	
0C1803003	JFE福山5炉CDガイド	CMPL	20180306	ZE10	PP1115	P716103	20180306	153533	
0C1803004	JFE福山5炉CDガイド	CMPL	20180319	ZE10	PP1115	P716103	20180319	142452	
0C1803005	東電PG木更津支社～桜井変電所	CMPL	20180306	ZE10	PP1115	P716103	20180306	153621	
0C1803006	東電PG木更津支社～勝山変電所	CMPL	20180306	ZE10	PP1115	P716103	20180306	153636	
0C1803007	三井住友銀行高麗橋ビル	CMPL	20180312	ZE10	PP1115	P716103	20180312	104714	
0C1803008	エフオン壬生	CMPL	20180312	ZE10	PP1115	P716103	20180312	104753	
0C1803009	東京都水道局　幸町浄水所	DLFL	20180312	ZE10	PP1115	P716103	20180312	104923	
0C1803010	H社向け50MWバイオマス発電所（東海地区）	CMPL	20180313	ZE10	PP1115	P716103	20180313	161158	
0C1803011	太陽石油	CMPL	20180313	ZE10	PP1115	P716103	20180313	161726	
0C1803013	東京ガス根岸LNG基地第12変電室直流電源装置	CMPL	20180314	ZE10	PP1007	P716103	20180314	163136	
0C1803014	東京ガス根岸LNG基地第16変電室直流電源装置	CMPL	20180314	ZE10	PP1007	P716103	20180314	163218	
0C1803015	東京ガス根岸LNG基地第17変電室直流電源装置	CMPL	20180314	ZE10	PP1007	P716103	20180314	163239	
0C1803016	東京ガス根岸LNG基地多重無線機室直流電源装置	CMPL	20180314	ZE10	PP1007	P716103	20180314	163255	
0C1803017	神戸製鋼所	CMPL	20180314	ZE10	PP1007	P716103	20180314	163315	
0C1803019	東電PG相模原支社～北相模変電所	CMPL	20180320	ZE10	PP1115	P716103	20180320	121747	
0C1803022	近畿自動車道　長原IC	CMPL	20180327	ZE10	PP1115	P716103	20180327	164708	
0C1803024	カヌー・スラローム会場	CMPL	20180328	ZE10	PP1007	P716103	20180328	164841	
0C1803025	エリーパワー～関東某所その1	CMPL	20180330	ZE10	PP1115	P716103	20180330	104441	
0C1803026	エリーパワー～関東某所その2	DLFL	20180330	ZE10	PP1115	P716103	20180330	104419	
0C1803027	エリーパワー～関東某所その3	CMPL	20180330	ZE10	PP1115	P716103	20180330	104457	
0C1803028	エリーパワー～関東某所その4	CMPL	20180330	ZE10	PP1115	P716103	20180330	104514	
0C1803029	エリーパワー～関東某所その5	CMPL	20180330	ZE10	PP1115	P716103	20180330	104530	
0C1803032	関西支社管内無停電電源設備更新工事	CMPL	20180403	ZE10	PP1007	P716103	20180403	143731	
0C1803033	日本下水道事業団　炬口ポンプ場SKTKSF40-50MSP	CMPL	20180403	ZE10	PP1007	P716103	20180403	143831	
0C1804001	東電PG川崎支社～下野毛変電所SKS30	CMPL	20180403	ZE10	PP1007	P716103	20180403	144010	
0C1804002	東電PG東京総支社～SKS25	DLFL	20180403	ZE10	PP1007	P716103	20180403	144106	
0C1804004	南茅場地域開発 地熱バイナリー発電設備新設工事	CMPL	20180413	ZE10	PP1115	P716103	20180413	095812	
0C1804008	東電PG栃木南支社～野木変電所	CMPL	20180413	ZE10	PP1115	P716103	20180413	095950	
0C1804009	東電PG栃木南支社～沼和田変電所	DLFL	20180413	ZE10	PP1115	P716103	20180413	100005	
0C1804011	関西電力	CMPL	20180413	ZE10	PP1115	P716103	20180413	100155	
0C1804012	藤本製薬	CMPL	20180413	ZE10	PP1115	P716103	20180413	100211	
0C1804013	熊本県下水力発電所(魚帰川発電所)	CMPL	20180418	ZE10	PP1007	P716103	20180418	162802	
0C1804015	東電PG川崎支社～下野毛変電所	DLFL	20180418	ZE10	PP1007	P716103	20180418	162820	
0C1804016	東電PG相模原支社～北相模変電所	DLFL	20180418	ZE10	PP1007	P716103	20180418	162836	
0C1804017	関西国際空港熱供給　南プラント	CMPL	20180418	ZE10	PP1007	P716103	20180418	162852	
0C1804018	関西国際空港熱供給　中央プラント	CMPL	20180418	ZE10	PP1007	P716103	20180418	162908	
0C1804019	鹿児島県熊野中継局3工区	CMPL	20180507	ZE10	PP1115	P716103	20180507	135628	
0C1804020	東京ガス根岸LNG基地第12変電室	CMPL	20180419	ZE10	PP1115	P716103	20180419	151059	
0C1804021	東京ガス根岸LNG基地第16変電室	CMPL	20180419	ZE10	PP1115	P716103	20180419	151241	
0C1804022	東京ガス根岸LNG基地第17変電室	CMPL	20180419	ZE10	PP1115	P716103	20180419	151301	
0C1804023	東京ガス根岸LNG基地多重無線電気室	CMPL	20180419	ZE10	PP1115	P716103	20180419	151343	
0C1804024	東電PG八重洲S/S　MSE化改造	CMPL	20180423	ZE10	PP1115	P716103	20180423	095559	
0C1804025	広島中央エコパーク整備事業	CMPL	20180516	ZE10	PP1115	P716103	20180516	101909	
0C1804026	東電PG平塚支社～西厚木変電所	CMPL	20180423	ZE10	PP1115	P716103	20180423	095711	
0C1804027	大王製紙三島工場	CMPL	20180424	ZE10	PP1115	P716103	20180424	130925	
0C1804028	東京電力フュエル&パワー向けUPS	DLFL	20180424	ZE10	PP1115	P716103	20180424	130946	
0C1804030	関西電力赤穂1号	CMPL	20180426	ZE10	PP1115	P716103	20180426	170438	
0C1804031	関西電力赤穂2号	CMPL	20180426	ZE10	PP1115	P716103	20180426	170453	
0C1804032	東電PG江東支社～有明町変電所	CMPL	20180426	ZE10	PP1115	P716103	20180426	170630	
0C1804033	新日鉄住金　釜石製鉄所	DLFL	20180507	ZE10	PP1115	P716103	20180507	135512	
0C1804035	大王製紙三島工場	CMPL	20180625	ZE10	PP1115	P716103	20180625	154633	
0C1805001	東電PG川崎支社～梶ヶ谷変電所	CMPL	20180514	ZE10	PP1115	P716103	20180514	162356	
0C1805002	新日鐵住金室蘭	DLFL	20180514	ZE10	PP1115	P716103	20180514	162644	
0C1805009	JXTG堺製油所向けCVCF	CMPL	20180514	ZE10	PP1115	P716103	20180514	162705	
0C1805010	JXTG堺製油所向けCVCF	CMPL	20180514	ZE10	PP1115	P716103	20180514	162720	
0C1805011	JXTG堺製油所向けCVCF	CMPL	20180514	ZE10	PP1115	P716103	20180514	162735	
0C1805012	JXTG堺製油所向けCVCF	CMPL	20180514	ZE10	PP1115	P716103	20180514	162756	
0C1805014	安威川ダム	CMPL	20180514	ZE10	PP1115	P716103	20180514	162811	
0C1805015	JXTG堺製油所向け2018年更新	CMPL	20180514	ZE10	PP1115	P716103	20180514	163029	
0C1805016	中津川環境センター	CMPL	20180514	ZE10	PP1115	P716103	20180514	163052	
0C1805017	カヌー・スラローム会場	DLFL	20180514	ZE10	PP1115	P716103	20180514	163107	
0C1805018	杉本商事　御殿場営業所	DLFL	20180518	ZE10	PP1115	P716103	20180518	125810	
0C1805019	中部電力川越発電所	CMPL	20180518	ZE10	PP1115	P716103	20180518	125831	
0C1805020	関東国内某所	CMPL	20180518	ZE10	PP1115	P716103	20180518	125927	
0C1805021	東電PG川崎支社～桜橋変電所	CMPL	20180518	ZE10	PP1115	P716103	20180518	125943	
0C1805022	白浜変電所	CMPL	20180518	ZE10	PP1115	P716103	20180518	125959	
0C1805023	新日鐵住金㈱尼崎	CMPL	20180518	ZE10	PP1115	P716103	20180518	130052	
0C1805024	太田川ダム小水力発電施設工事	CMPL	20180529	ZE10	PP1115	P716103	20180529	165007	
0C1805025	NEXCO新名神道神保局	DLFL	20180523	ZE10	PP1115	P716103	20180523	133308	
0C1805026	中国電力郡ハウス	CMPL	20180523	ZE10	PP1115	P716103	20180523	133323	
0C1805027	東電PG山梨総支社～御岳変電所	CMPL	20180523	ZE10	PP1115	P716103	20180523	133339	
0C1805028	小原ダム	CMPL	20180523	ZE10	PP1115	P716103	20180523	133356	
0C1805029	トーエネック	CMPL	20180528	ZE10	PP1115	P716103	20180528	130719	
0C1805031	大阪某所向け	CMPL	20180528	ZE10	PP1115	P716103	20180528	130850	
0C1805032	NEXCO西日本金剛山TN	CMPL	20180528	ZE10	PP1115	P716103	20180528	131130	
0C1805033	東電PG渋谷支社～駒沢変電所	CMPL	20180528	ZE10	PP1115	P716103	20180528	131146	
0C1805034	NEXCO中日本甲府昭和IC	CMPL	20180528	ZE10	PP1115	P716103	20180528	131216	
0C1805035	愛媛労災病院	CMPL	20180528	ZE10	PP1115	P716103	20180528	131230	
0C1805037	東電PG栃木総支社～匠町変電所SKS50	CMPL	20180531	ZE10	PP1007	P716103	20180531	133430	
0C1805038	愛知 KTBバイオマス発電	CMPL	20180531	ZE10	PP1007	P716103	20180531	133913	
0C1805039	馬淵配水場 SKS10-50MSP	CMPL	20180531	ZE10	PP1007	P716103	20180531	134352	
0C1805040	JR東日本・千手発電所	CMPL	20180531	ZE10	PP1007	P716103	20180531	134020	
0C1805043	横須賀火力発電所 SKS1000-2000MSP	CMPL	20180531	ZE10	PP1007	P716103	20180531	134123	
0C1805045	JFE福山　3焼結	CMPL	20180608	ZE10	PP1115	P716103	20180608	155859	
0C1806001	IPS姫路	CMPL	20180608	ZE10	PP1115	P716103	20180608	155939	
0C1806003	大阪中央卸売市場	DLFL	20180608	ZE10	PP1115	P716103	20180608	155958	
0C1806005	日新製鋼堺	DLFL	20180608	ZE10	PP1115	P716103	20180608	160016	
0C1806008	入札　大阪中央卸売市場直流電源装置更新工事	CMPL	20180608	ZE10	PP1115	P716103	20180608	160106	
0C1806009	福井火力開閉所	CMPL	20180608	ZE10	PP1115	P716103	20180608	160124	
0C1806010	魚津支社	CMPL	20180608	ZE10	PP1115	P716103	20180608	160141	
0C1806011	江口変電所	CMPL	20180608	ZE10	PP1115	P716103	20180608	160202	
0C1806012	越前変電所	CMPL	20180608	ZE10	PP1115	P716103	20180608	160218	
0C1806013	大阪某所	CMPL	20180608	ZE10	PP1115	P716103	20180608	160234	
0C1806014	JXTG堺製油所向け2018年更新	CMPL	20180608	ZE10	PP1115	P716103	20180608	160428	
0C1806016	南越清掃組合	CMPL	20180608	ZE10	PP1115	P716103	20180608	160518	
0C1806017	日経新聞社大阪　充電器	CMPL	20180613	ZE10	PP1115	P716103	20180613	143312	
0C1806018	深谷市新庁舎建設工事	CMPL	20180613	ZE10	PP1115	P716103	20180613	143344	
0C1806019	日新製鋼堺	CMPL	20180625	ZE10	PP1115	P716103	20180625	154650	
0C1806021	愛媛大学（医病）基幹・環境整備工事	CMPL	20180613	ZE10	PP1115	P716103	20180613	143419	
0C1806022	笠井山TN他7箇所工事	CMPL	20180613	ZE10	PP1115	P716103	20180613	143516	
0C1806024	東総広域プロジェクト	CMPL	20180621	ZE10	PP1115	P716103	20180621	154255	
0C1806025	愛知 KTBバイオマス発電	CMPL	20180621	ZE10	PP1115	P716103	20180621	154441	
0C1806026	熊本県企業局 八代工水受変電設備	CMPL	20180621	ZE10	PP1115	P716103	20180621	155042	
0C1806027	インドネシアRAPP	CMPL	20180621	ZE10	PP1115	P716103	20180621	154548	
0C1806028	穂高広域施設組合 新ごみ処理施設建設工事	CMPL	20180621	ZE10	PP1115	P716103	20180621	154621	
0C1806029	宇部興産機械㈱　本館電気室	CMPL	20180621	ZE10	PP1115	P716103	20180621	154643	
0C1806030	中国電力直島変電所	CMPL	20180621	ZE10	PP1115	P716103	20180621	154706	
0C1806031	徳島ワシントンホテル	CMPL	20180621	ZE10	PP1115	P716103	20180621	154936	
0C1806032	パナソニックモータ社	CMPL	20180621	ZE10	PP1115	P716103	20180621	154955	
0C1806034	宮崎県企業局寒川ダム	CMPL	20180627	ZE10	PP1115	P716103	20180627	152029	
0C1806035	実績品のSID素子調査	CMPL	20180718	ZE10	PP1115	P716103	20180718	091841	
0C1806037	宮崎県企業局亀崎配水池	CMPL	20180627	ZE10	PP1115	P716103	20180627	152502	
0C1806038	東電PG江東支社～松島変電所	CMPL	20180627	ZE10	PP1115	P716103	20180627	152519	
0C1806042	FFプロジェクト	DLFL	20180704	ZE10	PP1115	P716103	20180704	141847	
0C1806043	呉市消防局西消防署新庁舎電気設備工事	CMPL	20180704	ZE10	PP1115	P716103	20180704	141911	
0C1806045	JFE福山(5A5B煙道集塵機)	CMPL	20180704	ZE10	PP1115	P716103	20180704	141946	
0C1806047	三菱ケミカル四日市　S4棟	CMPL	20180704	ZE10	PP1115	P716103	20180704	142023	
0C1807001	FFプロジェクト	DLFL	20180627	ZE10	PP1115	P716103	20180627	152620	
0C1807002	東電HDPC甲府事業所～芦川第三発電所	CMPL	20180704	ZE10	PP1115	P716103	20180704	142040	
0C1807003	東京ガス袖ヶ浦LNG基地　既設更新	CMPL	20180704	ZE10	PP1115	P716103	20180704	142102	
0C1807004	東電HDRPC早川事業所～早川第一発電所	CMPL	20180704	ZE10	PP1115	P716103	20180704	142120	
0C1807005	パナソニック新井	CMPL	20180704	ZE10	PP1115	P716103	20180704	142140	
0C1807006	西之浦導水直流電源設備取替工事(直流電源装置)	CMPL	20180704	ZE10	PP1115	P716103	20180704	142215	
0C1807007	岡山河川管内電源設備工事(坂根分室 直流電源装置)	CMPL	20180704	ZE10	PP1115	P716103	20180704	142235	
0C1807008	岡山河川管内電源設備工事(阿波無線中継所 直流電源装置)	CMPL	20180704	ZE10	PP1115	P716103	20180704	142252	
0C1807009	チビQ量産機	DLFL	20180704	ZE10	PP1115	P716103	20180704	142309	
0C1807010	MHPS高砂	CMPL	20180710	ZE10	PP1115	P716103	20180710	143431	
0C1807012	日本化学未来館　直流電源更新	CMPL	20180710	ZE10	PP1115	P716103	20180710	143551	
0C1807013	日本科学未来館　直流電源更新	CMPL	20180710	ZE10	PP1115	P716103	20180710	143609	
0C1807014	新日鐵住金名古屋3コークス路	CMPL	20180710	ZE10	PP1115	P716103	20180710	143627	
0C1807016	クリーンおしま直流電源更新	CMPL	20180710	ZE10	PP1115	P716103	20180710	143840	
0C1807017	インドネシアRAPP	DLFL	20180710	ZE10	PP1115	P716103	20180710	143859	
0C1807018	九州地方整備局　延岡河川国道事務所	CMPL	20180713	ZE10	PP1115	P716103	20180713	095813	
0C1807020	トーカロ　明石工場	CMPL	20180713	ZE10	PP1115	P716103	20180713	095829	
0C1807021	三菱レーヨンエンジニアリング	CMPL	20180713	ZE10	PP1115	P716103	20180713	095843	
0C1807023	東京電設サービス技術技能訓練センター	DLFL	20180713	ZE10	PP1115	P716103	20180713	095858	
0C1807024	東京電設サービス技術技能訓練センター	DLFL	20180713	ZE10	PP1115	P716103	20180713	095912	
0C1807025	エリーパワー～幕張某所向け	DLFL	20180718	ZE10	PP1115	P716103	20180718	151646	
0C1807026	東電PG下館支社～笠間変電所	CMPL	20180718	ZE10	PP1115	P716103	20180718	151703	
0C1807029	JFE福山2,3CC	CMPL	20180723	ZE10	PP1115	P716103	20180723	085323	
0C1807031	JFE福山 3コークスAB団SKS50-150MSP	CMPL	20180724	ZE10	PP1007	P716103	20180724	085059	
0C1807032	民間某社	CMPL	20180724	ZE10	PP1007	P716103	20180724	165007	
0C1807033	東レ愛媛（媛F-2）SBS20-50MSP	CMPL	20180724	ZE10	PP1007	P716103	20180724	165023	
0C1807035	東京ガス幕張ビル	DLFL	20180726	ZE10	PP1115	P716103	20180726	124307	
0C1808001	東電PG埼玉群馬建設センター～新秩父開閉所	CMPL	20180802	ZE10	PP1115	P716103	20180802	130502	
0C1808003	淀川本部通信用電源	DLFL	20180802	ZE10	PP1115	P716103	20180802	130525	
0C1808004	大王製紙可児工場	CMPL	20180808	ZE10	PP1115	P716103	20180808	141405	
0C1808005	赤坂排水機場（兵庫県中播磨県民センター	CMPL	20180808	ZE10	PP1115	P716103	20180808	141447	
0C1808007	東電PG東京建設センター～八重洲変電所	CMPL	20180808	ZE10	PP1115	P716103	20180808	141756	
0C1808008	CS→MSE化改造（南狭山変電所）	CMPL	20180808	ZE10	PP1115	P716103	20180808	141811	
0C1808010	双葉町減容化施設	CMPL	20180810	ZE10	PP1115	P716103	20180810	165138	
0C1808011	北北上運河右岸第二排水ポンプ場	CMPL	20180810	ZE10	PP1115	P716103	20180810	165149	
0C1808012	NEXCO米子道　直流電源更新	CMPL	20180810	ZE10	PP1115	P716103	20180810	165204	
0C1808014	淀川製鋼所	CMPL	20180810	ZE10	PP1115	P716103	20180810	165354	
0C1808015	小田急電鉄向けリチウムイオン電池使用直流電源装置（64個）	CMPL	20180816	ZE10	PP1115	P716103	20180816	140106	
0C1808016	小田急電鉄向けリチウムイオン電池使用直流電源装置（64個）	CMPL	20180816	ZE10	PP1115	P716103	20180816	140121	
0C1808017	TDS技術技能訓練センター	CMPL	20180816	ZE10	PP1115	P716103	20180816	140137	
0C1808018	TDS技術技能訓練センター	CMPL	20180816	ZE10	PP1115	P716103	20180816	140151	
0C1808019	東芝エネルギーシステム(株)	CMPL	20180816	ZE10	PP1115	P716103	20180816	140329	
0C1808020	鎧潟クリーンセンター直流電源装置更新	CMPL	20180827	ZE10	PP1115	P716103	20180827	143742	
