購買依頼,明細,購買ｸﾞﾙｰﾌﾟ,購買依頼者,品目コード,テキスト (短),追跡番号,品目ｸﾞﾙｰﾌﾟ,購買依頼数量,単位,依頼価格,通貨,標準原価,納入期日,固定仕入先,固定仕入先名称,希望仕入先,希望仕入先名称,勘定コード,原価センタ,受注番号,指図番号,WBS 要素,ネットワーク,受領者（理由）,メーカ名,図面番号,図面完成フラグ,図面改定記号,処理ステータス,自動発注,購買情報,購買発注,発注日付,入庫完了,指定納期,回答納期,材料費（設計予算）,加工費（設計予算）,登録者,削除,プラント固有ｽﾃｰﾀｽ,MRPﾀｲﾌﾟ,研究室／設計室,安全在庫,最小ﾛｯﾄｻｲｽﾞ,購買発注削除,備考,承認グループ,購買情報テキスト,見積書番号
0012712565,00010,136,,F2A185200,415V/200V 300VA,,ZZZ,1.000,PC,138.96,JPY,13896.000,20260113,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040163307,,Oﾃﾞﾝｿｳ,F2A185200,1,,,X,5300101331,4502406975,20250613,,20260113,20260113,13916,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012712566,00010,136,,F2A674300,3ｿ ﾄﾞｳｷﾌｲﾙﾀACL,,EE,1.000,PC,257.15,JPY,25715.000,20260113,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040163307,,ｻﾝｼﾔ D,F2A674300,1,B,,X,5300063096,4502406976,20250613,,20260113,20260113,16639,0,SISSYS,,,PD,N,0.000,1.000,,,,,
0012712567,00010,136,,G1F1A0336,10VA  110/50V,,EE,1.000,PC,75.00,JPY,7500.000,20260113,S01967,西播野里電機（株）,,,0000705112,,,,00000000,000040163307,,ｻﾝｼﾔ D,G1F1A0336,1,,,X,5300231120,4502407202,20250613,,20260113,20260113,2241,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012712616,00010,136,資材部,G1F1A0445,PTR,,EE,100.000,PC,64.00,JPY,6400.000,20260113,S00371,ウメトク（株）,,,,,,,00000000,,,ｻﾝｼﾔ D,G1F1A0445,1,E,,X,,4502407029,20250613,,20260113,20260120,3190,0,資材部,,,PD,L,200.000,50.000,,,,,
0012712620,00010,136,資材部,F1A618000,1200/0.12A,,EE,3.000,PC,174.98,JPY,17498.000,20250902,S01967,西播野里電機（株）,,,,,,,00000000,,,ﾉｻﾞﾄ D,F1A618000,1,A,,X,,4502407203,20250613,,20250902,20250902,12572,0,資材部,,,PD,L,6.000,0.000,,,,,
0012712625,00010,136,資材部,024010603,ｾﾝｻﾞｲ AL ﾉｰﾒﾂｸｽ 2.4X10,,99,100.000,KG,16.38,JPY,1638.000,20251007,S01010,（株）テクノアソシエ,,,,,,,00000000,,,ﾃｸﾉｱｿｼ,,0,,,X,,4502407117,20250613,,20251007,20251015,978,0,資材部,,,PD,L,20.000,100.000,,,,,
0012712647,00010,136,資材部,54999003802,ｽｰﾊﾟｰｼｰﾙ 13X16X2438 B311(45)ROHS*,,54,45.000,PC,17.30,JPY,1730.000,20250822,S01037,中尾貿易（株）,,,,,,,00000000,,,,,0,,,X,,4502407118,20250613,,20250822,20250822,803,0,資材部,,,PD,L,10.000,45.000,,,,,
0012712649,00010,136,資材部,33311130300,109E5724H507 検査成績書付 1ｿｳ D*D0A*,,33,500.000,PC,35.50,JPY,3550.000,20250820,S00983,（株）電子技販,,,,,,,00000000,,,ｻﾝﾖｳ D,D1A228400,1,,承認完了,X,,4502407355,20250614,,20251010,20251010,2860,0,資材部,,,PD,L,400.000,500.000,,,G1,,
0012712651,00010,136,資材部,F2A469200,ﾊﾟﾙｽﾄﾗﾝｽ,,EE,50.000,PC,16.70,JPY,1670.000,20250916,S00371,ウメトク（株）,,,,,,,00000000,,,ｻﾝｼﾔ D,F2A469200,1,B,,X,,4502407030,20250613,,20250916,20251220,1050,0,資材部,,,PD,L,150.000,50.000,,,,,
0012712661,00010,136,資材部,54999003803,ｽｰﾊﾟｰｼｰﾙ 10X13X2438 B452(80),,SUB,160.000,PC,10.80,JPY,1080.000,20250822,S01037,中尾貿易（株）,,,,,,,00000000,,,FREE,,0,,,X,,4502407119,20250613,,20250822,20250822,506,0,資材部,,,PD,L,80.000,160.000,,,,,
0012712676,00010,136,資材部,54999346900,HG600E 6ﾌｱｲ L=1000MM,,SUB,10000000.000,M,1.18,JPY,117.900,20251114,S00578,（株）クラベ,,,,,,,00000000,,,ｸﾗﾍﾞ,,0,,未承認　,,,,00000000,,00000000,00000000,94,0,資材部,,J,PD,L,0.000,10000000.000,,,G1,,
0012712784,00010,136,,333112601,ﾌｱﾝｺｰﾄﾞ  489-007-L10,,33,18.000,PC,5.04,JPY,504.000,20251002,S00983,（株）電子技販,,,0000705114,,,000010133367,00000000,,,ｻﾝﾖｳ D,,0,,,X,5300045541,4502407356,20250614,,20251002,20251002,264,0,PP1145,,,PD,N,0.000,0.000,,,,,
0012712876,00010,136,資材部,63301002700,TSE30MD3 1ｿｳ50/60HZ P380V P400V P420V S1,,63,10.000,PC,75.80,JPY,7580.000,20250909,S00136,ホクト電機（株）,,,,,,,00000000,,,ﾎｸﾄD,,0,,,X,,4502407290,20250614,,20250909,20250917,5301,0,資材部,,,PD,L,5.000,10.000,,,,,
0012712890,00010,136,資材部,33111112400,109S072UL 1ｿｳ AC230V 50/60HZ UL ROHSﾀｲｵｳ,,33,20.000,PC,21.80,JPY,2180.000,20251002,S00983,（株）電子技販,,,,,,,00000000,,,ｻﾝﾖｳ D,,0,,,X,,4502407357,20250614,,20251002,20251002,1166,0,資材部,,,PD,L,0.000,1.000,,,,,
0012712900,00010,136,資材部,F00A0787000,3ｿｳ0.2KVA210V 巻線表,,ZZZ,10.000,PC,215.10,JPY,21510.000,20250909,S00136,ホクト電機（株）,,,,,,,00000000,,,ﾎｸﾄD,F00A0787000,0,,,X,,4502407291,20250614,,20250909,20250917,17000,0,資材部,,,PD,L,0.000,10.000,,,,,
0012713072,00010,136,資材部,F00A0351801,DDCﾄﾞｳｷTRﾈｯﾀｲｼｮﾘ,,ZZZ,10.000,PC,212.50,JPY,21250.000,20251016,S00136,ホクト電機（株）,,,,,,,00000000,,,ﾎｸﾄD,F00A0351801,1,,,X,,4502407491,20250617,,20251016,20251022,16800,0,資材部,,J,PD,L,3.000,10.000,,,,,
0012713118,00010,136,資材部,63200633500,F200160PB ﾌｧｲﾝﾒｯﾄ 156mm 204mm*,,ZZZ,10.000,PC,403.47,JPY,40347.000,20251014,S00371,ウメトク（株）,,,,,,,00000000,,,ﾌﾟﾛﾃﾘｱ,,0,,,X,,4502407528,20250617,,20251014,20251014,23000,0,資材部,,,PD,L,10.000,10.000,,,,,
0012713200,00010,136,,F00A0183001,INVD*LSF-T27D360-SI,,ZZZ,1.000,PC,929.60,JPY,92960.000,20250605,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040154932,,Oﾃﾞﾝｿｳ,F00A0183001,1,,,X,5300189011,4502407687,20250618,,20250605,20250903,60159,20980,SISSYS,,,PD,N,0.000,0.000,,,,,
0012713201,00010,136,,F00A0183201,INVD6TI-T20D360L200,,ZZZ,1.000,PC,1897.30,JPY,189730.000,20250605,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040154932,,Oﾃﾞﾝｿｳ,F00A0183201,1,,,X,5300189012,4502407688,20250618,,20250605,20250903,99381,41656,SISSYS,,,PD,N,0.000,0.000,,,,,
0012713232,00010,136,,F00A0183301,INVF6ST-10%203P200N200,,ZZZ,1.000,PC,1992.95,JPY,199295.000,20250605,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040154928,,Oﾃﾞﾝｿｳ,F00A0183301,1,AA,,X,5300221286,4502407689,20250618,,20250605,20250903,140161,52983,SISSYS,,,PD,N,0.000,0.000,,,,,
0012713260,00010,136,,F00A0183001,INVD*LSF-T27D360-SI,,ZZZ,1.000,PC,929.60,JPY,92960.000,20250605,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040154930,,Oﾃﾞﾝｿｳ,F00A0183001,1,,,X,5300189011,4502407690,20250618,,20250605,20250903,60159,20980,SISSYS,,,PD,N,0.000,0.000,,,,,
0012713261,00010,136,,F00A0183201,INVD6TI-T20D360L200,,ZZZ,1.000,PC,1897.30,JPY,189730.000,20250605,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040154930,,Oﾃﾞﾝｿｳ,F00A0183201,1,,,X,5300189012,4502407691,20250618,,20250605,20250903,99381,41656,SISSYS,,,PD,N,0.000,0.000,,,,,
0012713368,00010,136,,F00A0498701,INVG*TI-S30D360L100,,ZZZ,1.000,PC,2110.92,JPY,211092.000,20251002,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040151683,,Oﾃﾞﾝｿｳ,F00A0498701,1,,,X,5300190717,4502407692,20250618,,20251002,20251002,161478,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012713369,00010,136,,F00A0522401,ACL3-0.3mH-96A-T1,,ZZZ,1.000,PC,470.79,JPY,47079.000,20251002,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040151683,,Oﾃﾞﾝｿｳ,F00A0522401,1,AA,,X,5300179415,4502407693,20250618,,20251002,20251002,23377,18791,SISSYS,,,PD,N,0.000,0.000,,,,,
0012713478,00010,136,資材部,42111220300,ECST451LGN103MFN0U DC 450V 10*,,ZZZ,112.000,PC,86.90,JPY,8690.000,20251016,S00983,（株）電子技販,,,,,,,00000000,,,ﾆﾎﾝｹﾐｺ,,0,,,X,,4502407934,20250618,,20251016,20251016,5275,0,資材部,,,PD,L,300.000,100.000,,,,,
0012713568,00010,136,,F00A0240900,250kVA 420V/2X200V ﾄﾗﾝｽ,,ZZZ,1.000,PC,11600.00,JPY,1160000.000,20260203,S01735,株式会社　イーグルライズジャパン,,,0000705112,,,000010133397,00000000,,,EAGLER,F00A0240900,1,,承認完了,X,5300130203,4502408719,20250620,,20260203,20260203,465080,0,PP1145,,,PD,N,0.000,0.000,,,G1,,
0012713825,00010,136,,34812000400,KS4 XXXXXXXXXX,,34,1.000,PC,70.00,JPY,7000.000,20250828,S00983,（株）電子技販,,,0000705114,,,,00000000,000040161151,,ｷﾑﾗSS,,0,,,X,5300047766,4502408163,20250619,,20250825,20250825,4950,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012713828,00010,136,,D00A0540200,導電率計一式購入仕様書,,ZZZ,1.000,PC,2394.00,JPY,239400.000,20250828,S01808,オルガノ（株）,,,0000705114,,,,00000000,000040161151,,ｵﾙｶﾞﾉ,D00A0540200,1,AC,,X,5300170906,4502408230,20250619,,20250825,20250825,191000,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012713860,00010,136,資材部,F3A300001,28KHZ 600W L,,EE,50.000,PC,67.20,JPY,6720.000,20250818,S00371,ウメトク（株）,,,,,,,00000000,,,ｺﾝｺﾙﾄﾞ,F3A300001,1,D,,X,,4502408107,20250619,,20250818,20260115,3520,0,資材部,,,PD,L,60.000,50.000,,,,,
0012713877,00010,136,資材部,42121121000,ELXS201VSN102MP50S DC 200V 1000MF +-20%,,42,200.000,PC,1.58,JPY,158.000,20250715,S00983,（株）電子技販,,,,,,,00000000,,,ﾆﾎﾝｹﾐｺ,,0,,,X,,4502408165,20250619,,20250715,20251029,148,0,資材部,,,PD,L,900.000,200.000,,,,,
0012713879,00010,136,資材部,22008232200,UPT-13512UF DC12V 1C ｾﾂﾃﾝAC*,,ZZZ,100.000,PC,9.90,JPY,990.000,20250820,S00983,（株）電子技販,,,,,,,00000000,,,ｻﾝﾕｰ K,,0,,,X,,4502408166,20250619,,20250820,20250905,740,0,資材部,,N,PD,L,20.000,100.000,,,,,
0012714170,00010,136,資材部,E0C061400,PB ｽﾀｰﾀｹｰｽ,,EE,200.000,PC,1.23,JPY,123.000,20251022,S00682,シモダＬ＆Ｃ㈱,,,,,,,00000000,,,ｼﾓﾀﾞK,E0C061400,1,B,,X,,4502408592,20250620,,20251022,00000000,135,0,資材部,,,PD,L,0.000,850.000,,,,,
0012714264,00010,136,,E00A1192300,THYｽﾀｯｸ SCF750BB,,ZZZ,2.000,SET,854.05,JPY,85405.000,20251119,S00364,内山産業（株）,,,0000705115,,,000010133414,00000000,,,ｳﾁﾔﾏSG,E00A1192300,1,AA,,X,5300130357,4502408890,20250621,,20251119,20251119,633,63424,PP1145,,,PD,N,0.000,0.000,,,,,
0012714269,00010,136,,33311112200,109S303 1ｿｳ AC230V 50/60HZ,,33,3.000,PC,50.80,JPY,5080.000,20251119,S00983,（株）電子技販,,,0000705114,,,000010133414,00000000,,,ｻﾝﾖｳ D,,0,,,X,5300045234,4502408997,20250621,,20251119,20251119,3729,0,PP1145,,,PD,N,0.000,0.000,,,,,
0012714326,00010,136,,F0A973701,3ｿ 440/200V,,ZZZ,6.000,PC,280.00,JPY,28000.000,20260219,S01967,西播野里電機（株）,,,0000705112,,,,00000000,000040164298,,ﾉｻﾞﾄ D,F0A973701,0,,,X,5300233651,4502409082,20250621,,20260219,20260219,28000,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012714332,00010,136,,E00A5623200,ｽﾀｯｸ購入仕様書,,ZZZ,2.000,SET,411.96,JPY,41196.000,20250917,S00364,内山産業（株）,,,0000705115,,,,00000000,000040164740,,ｳﾁﾔﾏSG,E00A5623200,1,AA,,X,5300228602,4502408892,20250621,,20250917,20250917,38704,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012714333,00010,136,,E00A5623300,ｽﾀｯｸ購入仕様書,,ZZZ,2.000,SET,440.40,JPY,44040.000,20250917,S00364,内山産業（株）,,,0000705115,,,,00000000,000040164740,,ｳﾁﾔﾏSG,E00A5623300,1,AA,,X,5300228603,4502408893,20250621,,20250917,20250917,40048,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012714335,00010,136,,E0B985700,ﾋｰﾄｼﾝｸ(ｽﾘｯﾄ入り)UF315R,,EE,24.000,SET,205.00,JPY,20500.000,20250917,S00364,内山産業（株）,,,0000705115,,,,00000000,000040164740,,ｳﾁﾔﾏSG,E0B985700,1,C,,X,5300047852,4502408894,20250621,,20250917,20250917,18746,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012714364,00010,136,,63301003700,TSE50MD4 1ｿｳ50/60HZ P380V /400V /420V S2,,63,1.000,PC,104.80,JPY,10480.000,20251020,S00136,ホクト電機（株）,,,0000705114,,,,00000000,000040162590,,ﾎｸﾄD,,0,,,X,5300041128,4502408872,20250621,,20251020,20251022,7337,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012714365,00010,136,,F00A0161700,INVD*TRF-10%P208D401A67,,ZZZ,1.000,PC,2722.00,JPY,272200.000,20251020,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040162590,,Oﾃﾞﾝｿｳ,F00A0161700,1,,,X,5300120670,4502408803,20250621,,20251020,20251020,136494,49028,SISSYS,,,PD,N,0.000,0.000,,,,,
0012714366,00010,136,,F00A0161800,INVD*LSF-T30D360-SI,,ZZZ,1.000,PC,995.20,JPY,99520.000,20251020,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040162590,,Oﾃﾞﾝｿｳ,F00A0161800,1,,,X,5300120671,4502408804,20250621,,20251020,20251020,57047,21523,SISSYS,,,PD,N,0.000,0.000,,,,,
0012714367,00010,136,,F00A0161900,INVD*TI-T30D360L208C,,ZZZ,1.000,PC,2595.30,JPY,259530.000,20251020,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040162590,,Oﾃﾞﾝｿｳ,F00A0161900,1,,,X,5300120672,4502408805,20250621,,20251020,20251020,136797,47796,SISSYS,,,PD,N,0.000,0.000,,,,,
0012714395,00010,136,,63301003700,TSE50MD4 1ｿｳ50/60HZ P380V /400V /420V S2,,63,1.000,PC,104.80,JPY,10480.000,20251020,S00136,ホクト電機（株）,,,0000705114,,,,00000000,000040162592,,ﾎｸﾄD,,0,,,X,5300041128,4502408873,20250621,,20251020,20251022,7337,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012714396,00010,136,,F00A0161700,INVD*TRF-10%P208D401A67,,ZZZ,1.000,PC,2722.00,JPY,272200.000,20251020,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040162592,,Oﾃﾞﾝｿｳ,F00A0161700,1,,,X,5300120670,4502408806,20250621,,20251020,20251020,136494,49028,SISSYS,,,PD,N,0.000,0.000,,,,,
