プラント	指図タイプ	MRP管理者	指図番号	作業/活動番号	確認番号	テキスト（短）	作業区	管理キー	品目コード	品目テキスト	予定数	工程実績	工数実績	計画終了日	WBS要素	受注伝票番号	受注明細番号
P100	ZP10	B10	10132854	0020	0015274670	部品仕分け	C0931	SN	A00A1963100	MRT-10010CY       STD	5	5		20250806		0000000000	000000
P100	ZP10	B10	10132854	0025	0015778895	スクリーン印刷	C0922	SG	A00A1963100	MRT-10010CY       STD	5			20250806		0000000000	000000
P100	ZP10	B10	10132854	0030	0015274671	総合組立	C0921	MSN	A00A1963100	MRT-10010CY       STD	5	5	2725	20250806		0000000000	000000
P100	ZP10	B10	10132854	0040	0015274672	製品検査	C0953	SN	A00A1963100	MRT-10010CY       STD	5	5	190	20250806		0000000000	000000
P100	ZP10	B10	10132854	1000	0015274673	出荷検査	C0960	SNF	A00A1963100	MRT-10010CY       STD	5	1		20250806		0000000000	000000
P100	ZP10	B10	10132854	1030	0015274674	組立小型手直(自責)	CZ030	SNF	A00A1963100	MRT-10010CY       STD	5			20250806		0000000000	000000
P100	ZP10	B10	10132854	1040	0015274675	組立小型手直(他責)	CZ040	SNF	A00A1963100	MRT-10010CY       STD	5			20250806		0000000000	000000
P100	ZP10	B10	10132854	1050	0015274676	検査手直し(自責)	C0970	SNF	A00A1963100	MRT-10010CY       STD	5			20250806		0000000000	000000
P100	ZP10	B10	10132854	1060	0015274677	検査手直し(他責)	C0980	SNF	A00A1963100	MRT-10010CY       STD	5			20250806		0000000000	000000
P100	ZP10	B55	10132856	0010	0015274830	メイン部品払出	CW010	SN	A7A784400	RS-RC A/M 15V A 10M	1	1		20250808		0000000000	000000
P100	ZP10	B55	10132856	0020	0015274831	部品仕分け	C0931	SN	A7A784400	RS-RC A/M 15V A 10M	1	1		20250808		0000000000	000000
P100	ZP10	B55	10132856	0025	0015274832	外注加工(スクリーン印刷)	C0922	SG	A7A784400	RS-RC A/M 15V A 10M	1			20250808		0000000000	000000
P100	ZP10	B55	10132856	0030	0015274833	外注加工	C0922	SN	A7A784400	RS-RC A/M 15V A 10M	1			20250808		0000000000	000000
